,load,rel_hum,t_amb,tower_el,tower_wat,chiller_el,tc_in,eer,power_tot,old_consumption,tc_in_mean,tc_out_mean
2019-10-01 00:00:00,0.0,0.71,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.935,21.852500000000003
2019-10-01 01:00:00,0.0,0.72,13.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.433125,20.145625
2019-10-01 02:00:00,0.0,0.75,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5125,20.71875
2019-10-01 03:00:00,0.0,0.78,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.094375000000003,21.0725
2019-10-01 04:00:00,0.0,0.79,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68375,20.845625000000002
2019-10-01 05:00:00,589.1,0.8,9.62,10.52,1.9724656767741497,100.65000000017805,18.0,5.852955787371664,111.17000000017805,264.7682485605,21.219375000000003,21.29625
2019-10-01 06:00:00,1149.0749999999996,0.8200000000000001,8.9,12.86,2.4405968959522655,123.6821961968887,18.0,9.290544923464946,136.5421961968887,185.67506930650003,20.979375,20.935
2019-10-01 07:00:00,1234.4,0.84,8.8,19.520000000000003,3.1350815215522654,127.70043908496186,18.0,9.666372401262672,147.22043908496187,318.22867293775005,22.05,22.504374999999996
2019-10-01 08:00:00,1550.925,0.8300000000000001,9.41,30.5,3.8295661471522653,145.4293268106601,18.0,10.664458359345963,175.9293268106601,489.36352221175,23.258125,23.6775
2019-10-01 09:00:00,1394.35,0.77,11.7,12.86,3.01419261517415,136.14182453638247,18.0,10.241893002009641,149.00182453638246,359.82357303050003,22.965000000000003,23.2075
2019-10-01 10:00:00,1976.025,0.68,14.57,30.5,4.570848270485415,170.64482875410837,18.0,11.579753189282782,201.14482875410837,671.5104183845001,23.62125,24.07375
2019-10-01 11:00:00,1560.65,0.6,17.01,30.5,3.833528307769946,146.0061810952991,18.0,10.6889310321825,176.5061810952991,624.37713205,23.7625,24.08875
2019-10-01 12:00:00,1693.2,0.55,18.75,30.5,4.192851856375919,153.8686011908156,18.0,11.004194402860843,184.3686011908156,598.4030601449999,23.784375000000004,24.17875
2019-10-01 13:00:00,2326.25,0.5,20.22,30.5,5.425248984622046,207.376582857646,18.0,11.217515343074476,237.876582857646,723.683449623,25.286250000000003,25.865000000000002
2019-10-01 14:00:00,2492.925,0.46,21.73,46.88,5.772491299875514,224.94471536024525,18.0,11.082389715213456,271.82471536024525,548.2092491895,26.6275,27.249375
2019-10-01 15:00:00,4585.299999999998,0.42,23.22,188.0,10.013323474741991,432.4469713992577,18.0,10.603149757676556,620.4469713992577,886.7796157045999,27.458750000000002,28.38875
2019-10-01 16:00:00,3796.025,0.41,23.86,188.0,8.492071434936225,349.467681400486,18.0,10.862306307660534,537.4676814004861,945.39462819275,28.26875,28.751875000000002
2019-10-01 17:00:00,2971.55,0.45,22.87,100.16000000000004,7.103102183736224,266.91506534715654,18.0,11.13294221941023,367.07506534715657,859.12351154275,28.820625,29.546249999999997
2019-10-01 18:00:00,2661.15,0.49,21.6,69.73999999999998,6.119733615128983,242.1353745382616,18.0,10.990339619209552,311.87537453826155,821.479471511,28.745624999999997,29.167499999999997
2019-10-01 19:00:00,2217.725,0.56,19.61,46.88,4.887336481975918,195.9376653244552,18.0,11.318523145244413,242.8176653244552,736.9208049452501,28.231875000000002,28.560625
2019-10-01 20:00:00,1551.65,0.59,18.01,30.5,3.498367230775918,145.47233137172572,18.0,10.666289495526582,175.97233137172572,630.30013319925,26.546875,26.751875
2019-10-01 21:00:00,1540.6,0.63,17.04,30.5,3.851830029645945,144.81688254444953,18.0,10.638262424459622,175.31688254444953,594.20568206875,25.73625,26.010625
2019-10-01 22:00:00,1389.425,0.66,16.34,19.520000000000003,3.249943354497228,135.84969010431595,18.0,10.227664111218004,155.36969010431596,599.63849491675,25.581874999999997,25.955000000000002
2019-10-01 23:00:00,0.0,0.6900000000000001,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.231875000000002,24.12375
2019-10-02 00:00:00,0.0,0.7000000000000001,15.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.95125,22.90625
2019-10-02 01:00:00,0.0,0.71,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.92375,22.948749999999997
2019-10-02 02:00:00,0.0,0.71,14.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.849999999999998,22.83125
2019-10-02 03:00:00,0.0,0.72,14.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.71125,22.612499999999997
2019-10-02 04:00:00,916.65,0.73,13.92,9.44,1.9089308655582704,112.73651669779251,18.0,8.130905822265385,122.17651669779251,249.66540188025,23.072499999999998,23.165000000000003
2019-10-02 05:00:00,955.025,0.73,14.31,8.18,5.863072209594716,114.54372526304071,18.0,8.337645713956478,122.7237252630407,273.06192672199995,23.240625,23.1575
2019-10-02 06:00:00,1222.6999999999996,0.73,14.3,8.18,5.863072209594716,127.14944650611088,18.0,9.61624319726186,135.32944650611088,308.41601323975,23.523125,23.584374999999998
2019-10-02 07:00:00,1090.025,0.75,14.36,8.18,5.863072209594716,120.90133194208984,18.0,9.015822923457185,129.08133194208983,329.15799723625,23.39875,23.514999999999997
2019-10-02 08:00:00,1675.975,0.74,14.9,8.18,5.863072209594716,152.84687213653208,18.0,10.965059190108366,161.0268721365321,382.25142426275005,23.23125,23.556250000000002
2019-10-02 09:00:00,1176.725,0.74,16.01,12.86,2.497875677520062,124.98432823152365,18.0,9.414980395143699,137.84432823152366,252.70794308619998,23.234375,23.3575
2019-10-02 10:00:00,2032.925,0.73,17.75,30.5,4.573613058370479,176.4590939341427,18.0,11.520658724218087,206.9590939341427,666.5797779252499,24.692500000000003,25.377499999999998
2019-10-02 11:00:00,2831.975,0.71,19.14,100.16000000000004,6.259520658254303,255.77258678835656,18.0,11.072238176733796,355.9325867883566,803.6427000922499,28.3925,29.19875
2019-10-02 12:00:00,3224.475,0.6900000000000001,19.65,69.73999999999998,7.651856587893127,324.2275391100651,20.0,11.23093922270846,393.9675391100651,937.5024559155,31.214999999999996,31.89625
2019-10-02 13:00:00,2526.100000000001,0.7000000000000001,18.84,69.73999999999998,5.5650360326543025,228.44147729679082,18.0,11.057974365653813,298.18147729679083,873.623281252,30.443125,30.826249999999995
2019-10-02 14:00:00,2433.425,0.67,18.81,69.73999999999998,5.568402711093129,218.6732056323037,18.0,11.12813521420532,288.4132056323037,670.62783242925,23.81375,24.27125
2019-10-02 15:00:00,2576.625,0.75,17.63,69.73999999999998,5.962582309570477,233.76699038929908,18.0,11.022193491515075,303.50699038929906,797.3103320682501,27.624375,27.798125
2019-10-02 16:00:00,2151.95,0.8,16.85,46.88,5.268097683970479,189.0047484781467,18.0,11.38569277929446,235.8847484781467,666.6258796274999,25.765624999999996,26.235625
2019-10-02 17:00:00,2601.3,0.84,16.44,46.88,5.6515098213724375,266.19342996934915,20.0,11.005305095996752,313.07342996934915,801.8599791027499,27.726875,28.34
2019-10-02 18:00:00,2878.2499999999995,0.86,15.95,100.16000000000004,6.429366005889722,259.4667884384262,18.0,11.092941864823807,359.6267884384262,848.2175498852499,28.403125000000003,28.971249999999998
2019-10-02 19:00:00,2529.925,0.88,15.42,8.18,5.734881380289723,228.8446457793014,18.0,11.055207306182156,237.0246457793014,784.48496991225,27.305,27.690624999999997
2019-10-02 20:00:00,2153.675,0.88,14.9,46.88,5.040396754689722,189.1865695584946,18.0,11.38386834237779,236.0665695584946,705.0037190439999,26.096874999999997,26.4875
2019-10-02 21:00:00,2080.125,0.88,14.64,46.88,5.040396754689722,181.43414030656012,18.0,11.464903994834255,228.31414030656012,709.9933792747499,25.763125,26.20375
2019-10-02 22:00:00,1858.3,0.88,14.45,30.5,4.345912129089721,163.66177778658903,18.0,11.354514322966587,194.16177778658903,670.185988862,25.028125,25.335624999999997
2019-10-02 23:00:00,1842.25,0.87,14.2,30.5,4.345912129089721,162.70974577954988,18.0,11.322308883058573,193.20974577954988,636.77252984725,24.248125,24.586250000000003
2019-10-03 00:00:00,1737.3,0.84,13.75,30.5,4.2371766377800695,156.484464836325,18.0,11.102060526053686,186.984464836325,640.01114879275,24.195,24.535625
2019-10-03 01:00:00,1028.15,0.8300000000000001,12.94,9.44,2.670669960215106,117.987428880859,18.0,8.714063945220829,127.427428880859,332.40104860480005,21.965,21.970625000000002
2019-10-03 02:00:00,0.0,0.81,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.57,20.560000000000002
2019-10-03 03:00:00,0.0,0.8,10.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.097499999999997,21.14625
2019-10-03 04:00:00,0.0,0.79,9.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34375,21.295
2019-10-03 05:00:00,764.65,0.77,9.14,10.52,1.9724656767741497,105.57832251101128,18.0,7.2424905209139965,116.09832251101128,262.87502687475,21.151875,21.216874999999998
2019-10-03 06:00:00,0.0,0.77,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.583125000000003,21.596874999999997
